m0,g2,eta,ns,nlev,eigsh_ok,E0,M,Epi,W,WM,m_curv,m_curv_over_M,curv0,vg_max,vg_k5,vg_k5_cs,Ek5,Wfine,c_k5,rel_rms,band_ok,n_fail,frac_min,M2min,M2_k0,M2_kpi,M2_orient,gap_M2,gap_M2_k5,int_gap,twoM,MMp,margin,margin_k,n_Mstar,Mstar,Mstar_parity,Mstar_even,L_mean,L_mean_vac,L_rms,size_rms_raw,size_rms,size_mean,size_excess,vac_dom_weight,xi,xi_fit_ok,x_mean,gate_band,gate_margin,gate_size,gate_xi,gate_M2,feasible,rank,runtime,E1_0,E1_1,E1_2,E1_3,E1_4,E2_0,E2_1,E2_2,E2_3,E2_4
0.2,1.1,2.1,16,60,1,-17.0286,2.05669,3.14164,1.08495,2.2314,2.33089,1.13332,0.429021,0.462341,0.413241,0.414568,2.35309,1.21251,0.909776,0.148253,1,0,0.61478,3.14164,3.2692,3.14164,inverted,0.127563,0.967424,1.54829,4.11339,5.32589,1.8245,-2.35619,0,nan,nan,nan,2.82613,1.81183,3.06913,1.53457,1.09395,0.507146,0.507146,0.1215,0.449157,1,nan,1,1,1,1,1,1,31,25.9287,2.056693,2.181972,2.489616,2.847087,3.141639,3.269202,3.294074,3.333010,3.304579,3.141639
0.4,1.1,2.4,16,60,1,-19.2561,2.49953,3.69918,1.19965,2.99857,2.15774,0.863257,0.463449,0.513015,0.453465,0.454827,2.82235,1.32558,1.04305,0.0578188,1,0,0.602906,3.69918,3.82511,3.69918,inverted,0.125925,1.0654,1.68559,4.99906,6.32464,2.2383,-2.35619,0,nan,nan,nan,2.73811,1.698,2.98416,1.49208,1.08751,0.520058,0.520058,0.141458,0.428423,1,nan,1,1,1,1,1,1,32,40.0813,2.499530,2.635358,2.972619,3.369674,3.699184,3.825110,3.854951,3.904465,3.879028,3.699184
0.7,0.8,2.1,16,60,1,-17.5387,2.65844,3.57794,0.919495,2.44442,3.02814,1.13906,0.330236,0.396046,0.337179,0.33807,2.89361,1.04592,0.909288,0.0999557,1,0,0.630133,3.57794,3.70436,3.57794,inverted,0.126425,0.854549,1.36543,5.31689,6.36281,2.4347,3.14159,1,4.83784,-1,nan,2.43964,1.36753,2.68498,1.34249,1.03012,0.536058,0.536058,0.215607,0.365332,1,nan,1,1,1,1,1,1,33,38.3559,2.658443,2.756163,3.006317,3.313075,3.577938,3.704363,3.725528,3.758587,3.729682,3.577938
0.7,1.4,2.2,16,60,1,-21.9858,3.29551,4.09326,0.797753,2.629,3.77285,1.14484,0.265052,0.343181,0.279098,0.27992,3.48722,1.12078,0.907438,0.0690239,1,0,0.861341,4.09326,4.41629,4.09326,inverted,0.323027,0.905121,2.29073,6.59102,7.7118,3.06917,3.14159,1,6.37453,-1,nan,2.11309,1.13131,2.32992,1.16496,0.896939,0.490892,0.490892,0.286669,0.311031,1,nan,1,1,1,1,1,1,34,38.2167,3.295512,3.374461,3.581217,3.845448,4.093265,4.416292,4.408955,4.372075,4.273604,4.093265
0.7,1.4,2.5,16,60,1,-23.1518,3.38029,4.38227,1.00198,3.38699,2.88687,0.854031,0.346396,0.429652,0.358504,0.35953,3.62866,1.3169,1.04995,0.0313664,1,0,0.795894,4.38227,4.69719,4.38227,inverted,0.314916,1.06406,2.26881,6.76057,8.07747,3.11552,3.14159,1,6.61605,-1,nan,2.28101,1.28182,2.50889,1.25444,0.951287,0.499592,0.499592,0.23879,0.340235,1,nan,1,1,1,1,1,1,35,61.0774,3.380286,3.483089,3.748894,4.081219,4.382270,4.697186,4.698648,4.679290,4.586272,4.382270
0.3,1.1,2.1,16,60,1,-17.4843,2.2374,3.25934,1.02193,2.28648,2.57111,1.14915,0.388937,0.435982,0.383024,0.384186,2.50924,1.18953,0.903931,0.132985,1,0,0.662821,3.25934,3.42693,3.25934,inverted,0.167595,0.953779,1.62419,4.4748,5.66433,2.01332,3.14159,0,nan,nan,nan,2.68087,1.66757,2.92183,1.46091,1.05922,0.506649,0.506649,0.146739,0.41756,1,nan,1,1,1,1,1,1,36,21.226,2.237402,2.351562,2.636330,2.974091,3.259336,3.426931,3.445223,3.468926,3.426123,3.259336
0.6,1.4,2.5,16,60,1,-22.6153,3.19692,4.24673,1.04981,3.35615,2.70093,0.844853,0.370243,0.449328,0.3794,0.380492,3.46105,1.3488,1.05528,0.0335668,1,0,0.772991,4.24673,4.54572,4.24673,inverted,0.29899,1.088,2.21317,6.39385,7.74265,2.92929,3.14159,0,nan,nan,nan,2.36931,1.36957,2.60055,1.30027,0.974635,0.499871,0.499871,0.214173,0.356422,1,nan,1,1,1,1,1,1,37,68.6088,3.196925,3.306567,3.588013,3.936008,4.246732,4.545721,4.550559,4.538876,4.451866,4.246732
0.5,1.4,2.5,16,60,1,-22.0968,3.01428,4.1153,1.10102,3.31879,2.5185,0.835523,0.397062,0.470445,0.402244,0.403417,3.29588,1.37992,1.06078,0.0360652,1,0,0.746803,4.1153,4.3942,4.1153,inverted,0.278898,1.11078,2.15067,6.02856,7.40848,2.74499,3.14159,0,nan,nan,nan,2.46493,1.46463,2.69918,1.34959,0.999275,0.500152,0.500152,0.190071,0.374521,1,nan,1,1,1,1,1,1,38,57.3271,3.014281,3.131570,3.430149,3.794798,4.115304,4.394203,4.402970,4.400326,4.320773,4.115304
0.4,1.1,2.1,16,60,1,-17.9669,2.41909,3.38279,0.963693,2.33126,2.81784,1.16483,0.354882,0.411753,0.355893,0.356933,2.66947,1.16278,0.89823,0.120016,1,0,0.703655,3.38279,3.58187,3.38279,inverted,0.199082,0.935916,1.69068,4.83819,6.00096,2.19323,3.14159,0,nan,nan,nan,2.54868,1.53651,2.78694,1.39347,1.02648,0.506087,0.506087,0.173664,0.390521,1,nan,1,1,1,1,1,1,39,26.4225,2.419093,2.523687,2.788006,3.107194,3.382786,3.581868,3.594774,3.605854,3.551599,3.382786
0.4,1.4,2.5,16,60,1,-21.5976,2.83239,3.98825,1.15585,3.27383,2.33973,0.826061,0.427399,0.493114,0.427244,0.428517,3.13343,1.40966,1.06644,0.0389359,1,0,0.716755,3.98825,4.24206,3.98825,inverted,0.253813,1.13176,2.0807,5.66479,7.07445,2.56304,3.14159,0,nan,nan,nan,2.56848,1.56763,2.80534,1.40267,1.02524,0.500423,0.500423,0.166713,0.394874,1,nan,1,1,1,1,1,1,40,40.0077,2.832394,2.958269,3.275643,3.657946,3.988245,4.242058,4.255416,4.263419,4.193052,3.988245
