# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w_meson_ns50_k1.26_v3_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# boosted meson wavepacket, k0=2pi/5=1.2566; prep fidelity F=0.9936; signed q1 grid (boost asymmetry)
# completed-time grid: dispersion region only -- reproduce the low-omega ridge with a one-sided FT on data/w_meson_ns50_k1.26_v3.npz (see data/README.md)
q0,q1,ReW00,ImW00,window_spread
-0.6800,-3.015929,-1.405750e-03,0.000000e+00,7.237679e-02
-0.6800,-2.764602,-1.306337e-02,0.000000e+00,6.061704e-02
-0.6800,-2.513274,-1.845758e-02,0.000000e+00,4.896820e-02
-0.6800,-2.261947,-2.017802e-02,0.000000e+00,3.871320e-02
-0.6800,-2.010619,-1.949751e-02,0.000000e+00,2.957456e-02
-0.6800,-1.759292,-1.842909e-02,0.000000e+00,2.217604e-02
-0.6800,-1.507964,-1.727470e-02,0.000000e+00,1.591086e-02
-0.6800,-1.256637,-1.668011e-02,0.000000e+00,1.225741e-02
-0.6800,-1.005310,-1.578830e-02,0.000000e+00,7.129235e-03
-0.6800,-0.753982,-1.435529e-02,0.000000e+00,5.148264e-03
-0.6800,-0.502655,-1.122418e-02,0.000000e+00,2.329374e-03
-0.6800,-0.251327,-6.302086e-03,0.000000e+00,2.095250e-03
-0.6800,0.000000,1.032848e-03,0.000000e+00,2.102079e-03
-0.6800,0.251327,1.029955e-02,0.000000e+00,7.606624e-03
-0.6800,0.502655,2.177217e-02,0.000000e+00,1.361303e-02
-0.6800,0.753982,3.508625e-02,0.000000e+00,2.576395e-02
-0.6800,1.005310,5.115494e-02,0.000000e+00,3.815506e-02
-0.6800,1.256637,7.054382e-02,0.000000e+00,5.579338e-02
-0.6800,1.507964,9.504217e-02,0.000000e+00,7.181839e-02
-0.6800,1.759292,1.254047e-01,0.000000e+00,9.162994e-02
-0.6800,2.010619,1.625645e-01,0.000000e+00,1.085727e-01
-0.6800,2.261947,2.049577e-01,0.000000e+00,1.302998e-01
-0.6800,2.513274,2.501042e-01,0.000000e+00,1.511292e-01
-0.6800,2.764602,2.922798e-01,0.000000e+00,1.812845e-01
-0.6800,3.015929,3.254306e-01,0.000000e+00,2.138613e-01
-0.6400,-3.015929,5.508926e-03,0.000000e+00,8.186967e-02
-0.6400,-2.764602,-8.137708e-03,0.000000e+00,6.914747e-02
-0.6400,-2.513274,-1.504171e-02,0.000000e+00,5.633707e-02
-0.6400,-2.261947,-1.782925e-02,0.000000e+00,4.482210e-02
-0.6400,-2.010619,-1.792762e-02,0.000000e+00,3.447690e-02
-0.6400,-1.759292,-1.741976e-02,0.000000e+00,2.596360e-02
-0.6400,-1.507964,-1.673023e-02,0.000000e+00,1.875203e-02
-0.6400,-1.256637,-1.651703e-02,0.000000e+00,1.314760e-02
-0.6400,-1.005310,-1.596143e-02,0.000000e+00,8.557979e-03
-0.6400,-0.753982,-1.475306e-02,0.000000e+00,5.292507e-03
-0.6400,-0.502655,-1.170238e-02,0.000000e+00,2.933245e-03
-0.6400,-0.251327,-6.606427e-03,0.000000e+00,2.093585e-03
-0.6400,0.000000,1.207009e-03,0.000000e+00,2.302658e-03
-0.6400,0.251327,1.135401e-02,0.000000e+00,8.456027e-03
-0.6400,0.502655,2.412566e-02,0.000000e+00,1.479948e-02
-0.6400,0.753982,3.921370e-02,0.000000e+00,2.764168e-02
-0.6400,1.005310,5.751628e-02,0.000000e+00,4.026958e-02
-0.6400,1.256637,7.965085e-02,0.000000e+00,5.833888e-02
-0.6400,1.507964,1.074165e-01,0.000000e+00,7.407121e-02
-0.6400,1.759292,1.416704e-01,0.000000e+00,9.350360e-02
-0.6400,2.010619,1.833931e-01,0.000000e+00,1.089679e-01
-0.6400,2.261947,2.311140e-01,0.000000e+00,1.289531e-01
-0.6400,2.513274,2.822802e-01,0.000000e+00,1.469436e-01
-0.6400,2.764602,3.310170e-01,0.000000e+00,1.746450e-01
-0.6400,3.015929,3.708105e-01,0.000000e+00,2.047532e-01
-0.6000,-3.015929,1.437032e-02,0.000000e+00,9.829574e-02
-0.6000,-2.764602,-1.679797e-03,0.000000e+00,7.983299e-02
-0.6000,-2.513274,-1.046070e-02,0.000000e+00,6.418054e-02
-0.6000,-2.261947,-1.460333e-02,0.000000e+00,5.141062e-02
-0.6000,-2.010619,-1.572139e-02,0.000000e+00,3.983452e-02
-0.6000,-1.759292,-1.595404e-02,0.000000e+00,3.014745e-02
-0.6000,-1.507964,-1.588237e-02,0.000000e+00,2.193274e-02
-0.6000,-1.256637,-1.616422e-02,0.000000e+00,1.546686e-02
-0.6000,-1.005310,-1.604397e-02,0.000000e+00,1.020951e-02
-0.6000,-0.753982,-1.512496e-02,0.000000e+00,6.405907e-03
-0.6000,-0.502655,-1.219910e-02,0.000000e+00,3.660740e-03
-0.6000,-0.251327,-6.927329e-03,0.000000e+00,2.366355e-03
-0.6000,0.000000,1.403118e-03,0.000000e+00,2.552463e-03
-0.6000,0.251327,1.253029e-02,0.000000e+00,9.189135e-03
-0.6000,0.502655,2.674718e-02,0.000000e+00,1.577781e-02
-0.6000,0.753982,4.381733e-02,0.000000e+00,2.901260e-02
-0.6000,1.005310,6.459702e-02,0.000000e+00,4.163276e-02
-0.6000,1.256637,8.976138e-02,0.000000e+00,5.967184e-02
-0.6000,1.507964,1.210857e-01,0.000000e+00,7.472191e-02
-0.6000,1.759292,1.595401e-01,0.000000e+00,9.315660e-02
-0.6000,2.010619,2.061312e-01,0.000000e+00,1.065743e-01
-0.6000,2.261947,2.595187e-01,0.000000e+00,1.239077e-01
-0.6000,2.513274,3.170819e-01,0.000000e+00,1.380764e-01
-0.6000,2.764602,3.728594e-01,0.000000e+00,1.618069e-01
-0.6000,3.015929,4.198834e-01,0.000000e+00,1.877881e-01
-0.5600,-3.015929,2.564871e-02,0.000000e+00,1.243511e-01
-0.5600,-2.764602,6.706492e-03,0.000000e+00,1.008106e-01
-0.5600,-2.513274,-4.394284e-03,0.000000e+00,7.497115e-02
-0.5600,-2.261947,-1.025020e-02,0.000000e+00,5.833704e-02
-0.5600,-2.010619,-1.269128e-02,0.000000e+00,4.555426e-02
-0.5600,-1.759292,-1.389623e-02,0.000000e+00,3.467085e-02
-0.5600,-1.507964,-1.463769e-02,0.000000e+00,2.542328e-02
-0.5600,-1.256637,-1.556041e-02,0.000000e+00,1.804806e-02
-0.5600,-1.005310,-1.599907e-02,0.000000e+00,1.208408e-02
-0.5600,-0.753982,-1.545081e-02,0.000000e+00,7.693125e-03
-0.5600,-0.502655,-1.270533e-02,0.000000e+00,4.519559e-03
-0.5600,-0.251327,-7.261423e-03,0.000000e+00,2.854181e-03
-0.5600,0.000000,1.622263e-03,0.000000e+00,2.861486e-03
-0.5600,0.251327,1.383030e-02,0.000000e+00,9.726431e-03
-0.5600,0.502655,2.963998e-02,0.000000e+00,1.641940e-02
-0.5600,0.753982,4.890159e-02,0.000000e+00,2.966297e-02
-0.5600,1.005310,7.239951e-02,0.000000e+00,4.198669e-02
-0.5600,1.256637,1.008711e-01,0.000000e+00,5.945222e-02
-0.5600,1.507964,1.360302e-01,0.000000e+00,7.339419e-02
-0.5600,1.759292,1.789683e-01,0.000000e+00,9.014143e-02
-0.5600,2.010619,2.306927e-01,0.000000e+00,1.009335e-01
-0.5600,2.261947,2.900304e-01,0.000000e+00,1.146628e-01
-0.5600,2.513274,3.542975e-01,0.000000e+00,1.240476e-01
-0.5600,2.764602,4.175169e-01,0.000000e+00,1.422432e-01
-0.5600,3.015929,4.722822e-01,0.000000e+00,1.624083e-01
-0.5200,-3.015929,3.987603e-02,0.000000e+00,1.564265e-01
-0.5200,-2.764602,1.747994e-02,0.000000e+00,1.274384e-01
-0.5200,-2.513274,3.537331e-03,0.000000e+00,9.628008e-02
-0.5200,-2.261947,-4.467126e-03,0.000000e+00,7.431873e-02
-0.5200,-2.010619,-8.604932e-03,0.000000e+00,5.230702e-02
-0.5200,-1.759292,-1.107454e-02,0.000000e+00,3.943648e-02
-0.5200,-1.507964,-1.287437e-02,0.000000e+00,2.916313e-02
-0.5200,-1.256637,-1.462318e-02,0.000000e+00,2.085743e-02
-0.5200,-1.005310,-1.577423e-02,0.000000e+00,1.416636e-02
-0.5200,-0.753982,-1.569973e-02,0.000000e+00,9.150138e-03
-0.5200,-0.502655,-1.320505e-02,0.000000e+00,5.511154e-03
-0.5200,-0.251327,-7.602079e-03,0.000000e+00,3.415123e-03
-0.5200,0.000000,1.865446e-03,0.000000e+00,3.237195e-03
-0.5200,0.251327,1.525164e-02,0.000000e+00,9.988591e-03
-0.5200,0.502655,3.279850e-02,0.000000e+00,1.659168e-02
-0.5200,0.753982,5.445614e-02,0.000000e+00,2.938277e-02
-0.5200,1.005310,8.090472e-02,0.000000e+00,4.107973e-02
-0.5200,1.256637,1.129461e-01,0.000000e+00,5.736185e-02
-0.5200,1.507964,1.521919e-01,0.000000e+00,6.974334e-02
-0.5200,1.759292,1.998607e-01,0.000000e+00,8.406594e-02
-0.5200,2.010619,2.569314e-01,0.000000e+00,9.166189e-02
-0.5200,2.261947,3.224330e-01,0.000000e+00,1.008330e-01
