# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/sigma_vac_ns50.npz
# Re sigma(omega) = omega * ReW00 / q1^2 (Ward identity); band = omega*spread/q1^2
# gap at meson mass M = 2.7451 (excitonic insulator); sum rule saturated to 0.07%
omega,q1,Re_sigma,window_band
2.0200,0.502655,2.315960e-02,2.546728e-02
2.0200,0.753982,1.956969e-02,2.059481e-02
2.0400,0.251327,4.027165e-02,5.260327e-02
2.0400,0.502655,2.483074e-02,2.530959e-02
2.0400,0.753982,2.100575e-02,2.041142e-02
2.0600,0.251327,4.306588e-02,5.294943e-02
2.0600,0.502655,2.657560e-02,2.498733e-02
2.0600,0.753982,2.250773e-02,2.007652e-02
2.0800,0.251327,4.597258e-02,5.308610e-02
2.0800,0.502655,2.839290e-02,2.449366e-02
2.0800,0.753982,2.407481e-02,1.958299e-02
2.1000,0.251327,4.898865e-02,5.300586e-02
2.1000,0.502655,3.028089e-02,2.382307e-02
2.1000,0.753982,2.570573e-02,1.892487e-02
2.1200,0.251327,5.211020e-02,5.270307e-02
2.1200,0.502655,3.223737e-02,2.297143e-02
2.1200,0.753982,2.739887e-02,1.809745e-02
2.1400,0.251327,5.533262e-02,5.217404e-02
2.1400,0.502655,3.425965e-02,2.193615e-02
2.1400,0.753982,2.915215e-02,1.709736e-02
2.1600,0.251327,5.865051e-02,5.141708e-02
2.1600,0.502655,3.634454e-02,2.071622e-02
2.1600,0.753982,3.096309e-02,1.592270e-02
2.1800,0.251327,6.205769e-02,5.043264e-02
2.1800,0.502655,3.848837e-02,1.931232e-02
2.1800,0.753982,3.282876e-02,1.457308e-02
2.2000,0.251327,6.554722e-02,4.922336e-02
2.2000,0.502655,4.068698e-02,1.772688e-02
2.2000,0.753982,3.474581e-02,1.304972e-02
2.2200,0.251327,6.911139e-02,4.779412e-02
2.2200,0.502655,4.293572e-02,1.596408e-02
2.2200,0.753982,3.671044e-02,1.135550e-02
2.2400,0.251327,7.274176e-02,4.615206e-02
2.2400,0.502655,4.522946e-02,1.402994e-02
2.2400,0.753982,3.871843e-02,9.494986e-03
2.2600,0.251327,7.642916e-02,4.430659e-02
2.2600,0.502655,4.756260e-02,1.193229e-02
2.2600,0.753982,4.076513e-02,7.562463e-03
2.2800,0.251327,8.016372e-02,4.226935e-02
2.2800,0.502655,4.992909e-02,9.680728e-03
2.2800,0.753982,4.284549e-02,6.139933e-03
2.3000,0.251327,8.393492e-02,4.005420e-02
2.3000,0.502655,5.232246e-02,7.286659e-03
2.3000,0.753982,4.495406e-02,4.602075e-03
2.3200,0.251327,8.773164e-02,3.767707e-02
2.3200,0.502655,5.473582e-02,4.763177e-03
2.3200,0.753982,4.708502e-02,2.956942e-03
2.3400,0.251327,9.154217e-02,3.515595e-02
2.3400,0.502655,5.716191e-02,2.885279e-03
2.3400,0.753982,4.923218e-02,3.237160e-03
2.3600,0.251327,9.535429e-02,3.251068e-02
2.3600,0.502655,5.959313e-02,1.614266e-03
2.3600,0.753982,5.138904e-02,4.691028e-03
2.3800,0.251327,9.915534e-02,2.976287e-02
2.3800,0.502655,6.202157e-02,3.428721e-03
2.3800,0.753982,5.354879e-02,7.446555e-03
2.4000,0.251327,1.029322e-01,2.693569e-02
2.4000,0.502655,6.443902e-02,6.307568e-03
2.4000,0.753982,5.570437e-02,1.027261e-02
2.4200,0.251327,1.066716e-01,2.405368e-02
2.4200,0.502655,6.683709e-02,9.227878e-03
2.4200,0.753982,5.784845e-02,1.315078e-02
2.4400,0.251327,1.103599e-01,2.114255e-02
2.4400,0.502655,6.920718e-02,1.216848e-02
2.4400,0.753982,5.997356e-02,1.606158e-02
2.4600,0.251327,1.139832e-01,1.822894e-02
2.4600,0.502655,7.154055e-02,1.510739e-02
2.4600,0.753982,6.207204e-02,1.898462e-02
2.4800,0.251327,1.175277e-01,1.534018e-02
2.4800,0.502655,7.382840e-02,1.802199e-02
2.4800,0.753982,6.413614e-02,2.189881e-02
2.5000,0.251327,1.209795e-01,1.250404e-02
2.5000,0.502655,7.606188e-02,2.088927e-02
2.5000,0.753982,6.615803e-02,2.478249e-02
2.5200,0.251327,1.243248e-01,9.748442e-03
2.5200,0.502655,7.823216e-02,2.368597e-02
2.5200,0.753982,6.812989e-02,2.761365e-02
2.5400,0.251327,1.275499e-01,7.349052e-03
2.5400,0.502655,8.033050e-02,2.638887e-02
2.5400,0.753982,7.004389e-02,3.037014e-02
2.5600,0.251327,1.306415e-01,6.618772e-03
2.5600,0.502655,8.234828e-02,2.897497e-02
2.5600,0.753982,7.189231e-02,3.302984e-02
2.5800,0.251327,1.335864e-01,5.941887e-03
2.5800,0.502655,8.427708e-02,3.142172e-02
2.5800,0.753982,7.366756e-02,3.557092e-02
2.6000,0.251327,1.363722e-01,5.325208e-03
2.6000,0.502655,8.610872e-02,3.370725e-02
2.6000,0.753982,7.536221e-02,3.797200e-02
2.6200,0.251327,1.389866e-01,6.642537e-03
2.6200,0.502655,8.783530e-02,3.581059e-02
2.6200,0.753982,7.696906e-02,4.021241e-02
2.6400,0.251327,1.414183e-01,7.876941e-03
2.6400,0.502655,8.944930e-02,3.771187e-02
2.6400,0.753982,7.848118e-02,4.227236e-02
2.6600,0.251327,1.436562e-01,8.932451e-03
2.6600,0.502655,9.094358e-02,3.939256e-02
2.6600,0.753982,7.989198e-02,4.413314e-02
2.6800,0.251327,1.456905e-01,9.794894e-03
2.6800,0.502655,9.231147e-02,4.083564e-02
2.6800,0.753982,8.119523e-02,4.577736e-02
2.7000,0.251327,1.475117e-01,1.045177e-02
2.7000,0.502655,9.354678e-02,4.202578e-02
2.7000,0.753982,8.238509e-02,4.718908e-02
2.7200,0.251327,1.491116e-01,1.089239e-02
2.7200,0.502655,9.464387e-02,4.294955e-02
2.7200,0.753982,8.345619e-02,4.835402e-02
2.7400,0.251327,1.504827e-01,1.110804e-02
2.7400,0.502655,9.559770e-02,4.359552e-02
2.7400,0.753982,8.440364e-02,4.925967e-02
2.7600,0.251327,1.516186e-01,1.109209e-02
2.7600,0.502655,9.640382e-02,4.395444e-02
2.7600,0.753982,8.522309e-02,4.989551e-02
2.7800,0.251327,1.525139e-01,1.084008e-02
2.7800,0.502655,9.705846e-02,4.401931e-02
2.7800,0.753982,8.591072e-02,5.025305e-02
2.8000,0.251327,1.531643e-01,1.034981e-02
2.8000,0.502655,9.755851e-02,4.378552e-02
2.8000,0.753982,8.646332e-02,5.032598e-02
2.8200,0.251327,1.535667e-01,9.621381e-03
2.8200,0.502655,9.790158e-02,4.325089e-02
2.8200,0.753982,8.687827e-02,5.011025e-02
2.8400,0.251327,1.537191e-01,8.657222e-03
2.8400,0.502655,9.808599e-02,4.241570e-02
2.8400,0.753982,8.715358e-02,4.960412e-02
2.8600,0.251327,1.536207e-01,7.462093e-03
2.8600,0.502655,9.811081e-02,4.128276e-02
2.8600,0.753982,8.728790e-02,4.880819e-02
2.8800,0.251327,1.532717e-01,6.043057e-03
2.8800,0.502655,9.797584e-02,3.985735e-02
2.8800,0.753982,8.728055e-02,4.772545e-02
2.9000,0.251327,1.526737e-01,6.525491e-03
2.9000,0.502655,9.768162e-02,3.814722e-02
2.9000,0.753982,8.713149e-02,4.636121e-02
2.9200,0.251327,1.518293e-01,7.391739e-03
2.9200,0.502655,9.722946e-02,3.616252e-02
2.9200,0.753982,8.684135e-02,4.472315e-02
2.9400,0.251327,1.507423e-01,8.349423e-03
2.9400,0.502655,9.662139e-02,3.391576e-02
2.9400,0.753982,8.641141e-02,4.282117e-02
2.9600,0.251327,1.494177e-01,1.104786e-02
2.9600,0.502655,9.586015e-02,3.142162e-02
2.9600,0.753982,8.584363e-02,4.066739e-02
2.9800,0.251327,1.478615e-01,1.453127e-02
2.9800,0.502655,9.494921e-02,2.869691e-02
2.9800,0.753982,8.514055e-02,3.827599e-02
3.0000,0.251327,1.460807e-01,1.822847e-02
3.0000,0.502655,9.389270e-02,2.576037e-02
3.0000,0.753982,8.430538e-02,3.566313e-02
3.0200,0.251327,1.440834e-01,2.211269e-02
3.0200,0.502655,9.269541e-02,2.263251e-02
3.0200,0.753982,8.334191e-02,3.284677e-02
3.0400,0.251327,1.418785e-01,2.615541e-02
3.0400,0.502655,9.136274e-02,1.933542e-02
3.0400,0.753982,8.225449e-02,2.984651e-02
3.0600,0.251327,1.394761e-01,3.032656e-02
3.0600,0.502655,8.990067e-02,1.589258e-02
3.0600,0.753982,8.104801e-02,2.668344e-02
3.0800,0.251327,1.368867e-01,3.459484e-02
3.0800,0.502655,8.831574e-02,1.232861e-02
3.0800,0.753982,7.972790e-02,2.337992e-02
3.1000,0.251327,1.341217e-01,3.892805e-02
3.1000,0.502655,8.661495e-02,8.669081e-03
3.1000,0.753982,7.830001e-02,1.995936e-02
3.1200,0.251327,1.311933e-01,4.329334e-02
3.1200,0.502655,8.480577e-02,4.940222e-03
3.1200,0.753982,7.677066e-02,1.644603e-02
3.1400,0.251327,1.281141e-01,4.765756e-02
3.1400,0.502655,8.289606e-02,2.544141e-03
3.1400,0.753982,7.514652e-02,1.286480e-02
3.1600,0.251327,1.248971e-01,5.198760e-02
3.1600,0.502655,8.089402e-02,4.010346e-03
3.1600,0.753982,7.343464e-02,9.240930e-03
3.1800,0.251327,1.215560e-01,5.625066e-02
3.1800,0.502655,7.880812e-02,6.615468e-03
3.1800,0.753982,7.164232e-02,5.599833e-03
3.2000,0.251327,1.181047e-01,6.041458e-02
3.2000,0.502655,7.664708e-02,1.013370e-02
3.2000,0.753982,6.977712e-02,4.456392e-03
3.2200,0.251327,1.145570e-01,6.444819e-02
3.2200,0.502655,7.441978e-02,1.380914e-02
3.2200,0.753982,6.784681e-02,4.982506e-03
3.2400,0.251327,1.109274e-01,6.832153e-02
3.2400,0.502655,7.213522e-02,1.739611e-02
3.2400,0.753982,6.585927e-02,7.410100e-03
3.2600,0.251327,1.072299e-01,7.200620e-02
3.2600,0.502655,6.980244e-02,2.087055e-02
3.2600,0.753982,6.382248e-02,9.754386e-03
3.2800,0.251327,1.034787e-01,7.547560e-02
3.2800,0.502655,6.743049e-02,2.420966e-02
3.2800,0.753982,6.174447e-02,1.199833e-02
3.3000,0.251327,9.968799e-02,7.870515e-02
3.3000,0.502655,6.502836e-02,2.739211e-02
3.3000,0.753982,5.963325e-02,1.522711e-02
3.3200,0.251327,9.587146e-02,8.167257e-02
