# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w00_vac_ns50_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# vacuum polarization: ridge along q0 = E(q1) is the meson dispersion
q0,q1,ReW00,ImW00,window_spread
-0.0600,1.005310,-1.772250e-04,1.181370e-06,4.809176e-04
-0.0600,1.256637,-2.563288e-04,3.119574e-07,7.149260e-04
-0.0600,1.507964,-3.352158e-04,-1.056099e-06,8.439772e-04
-0.0600,1.759292,-4.308547e-04,-2.803194e-06,9.701119e-04
-0.0600,2.010619,-5.206659e-04,-4.750670e-06,8.937495e-04
-0.0600,2.261947,-6.230788e-04,-6.685282e-06,7.491356e-04
-0.0600,2.513274,-7.123529e-04,-8.387642e-06,3.503274e-04
-0.0600,2.764602,-8.102884e-04,-9.661053e-06,2.943243e-04
-0.0600,3.015929,-8.876092e-04,-1.035721e-05,9.426496e-04
-0.0200,0.000000,-5.114847e-06,-1.338200e-18,1.079282e-05
-0.0200,0.251327,-2.846805e-05,7.712325e-07,6.144768e-05
-0.0200,0.502655,-5.803820e-05,1.333008e-06,1.290182e-04
-0.0200,0.753982,-1.100198e-04,1.508624e-06,3.229248e-04
-0.0200,1.005310,-1.660768e-04,1.181370e-06,4.983043e-04
-0.0200,1.256637,-2.432472e-04,3.119574e-07,7.732833e-04
-0.0200,1.507964,-3.219166e-04,-1.056099e-06,9.687832e-04
-0.0200,1.759292,-4.195458e-04,-2.803194e-06,1.186923e-03
-0.0200,2.010619,-5.133703e-04,-4.750670e-06,1.218838e-03
-0.0200,2.261947,-6.214729e-04,-6.685282e-06,1.188216e-03
-0.0200,2.513274,-7.171878e-04,-8.387642e-06,8.923092e-04
-0.0200,2.764602,-8.215611e-04,-9.661053e-06,5.286028e-04
-0.0200,3.015929,-9.043097e-04,-1.035721e-05,3.082527e-04
0.0200,0.000000,-4.372671e-06,2.063259e-22,1.195784e-05
0.0200,0.251327,-2.598339e-05,7.712325e-07,5.634805e-05
0.0200,0.502655,-5.246611e-05,1.333008e-06,1.156940e-04
0.0200,0.753982,-1.005370e-04,1.508624e-06,3.039035e-04
0.0200,1.005310,-1.526527e-04,1.181370e-06,4.854984e-04
0.0200,1.256637,-2.267538e-04,3.119574e-07,7.879241e-04
0.0200,1.507964,-3.040392e-04,-1.056099e-06,1.038628e-03
0.0200,1.759292,-4.025067e-04,-2.803194e-06,1.341315e-03
0.0200,2.010619,-4.995284e-04,-4.750670e-06,1.482773e-03
0.0200,2.261947,-6.128962e-04,-6.685282e-06,1.576779e-03
0.0200,2.513274,-7.152957e-04,-8.387642e-06,1.406794e-03
